CARHR000010.1	CARHR172190.1	NA
CARHR000020.1	CARHR226580.1	0.7196
CARHR000020.1	CARHR226570.1	0.8854
CARHR000020.1	CARHR116930.1	0.6809
CARHR000020.1	CARHR054930.1	0.8604
CARHR000020.1	CARHR054940.1	0.7987
CARHR000020.1	CARHR226590.1	0.8004
CARHR000020.1	CARHR226540.1	0.67
CARHR000030.1	CARHR187920.1	0.5872
CARHR000050.1	CARHR248570.1	0.1644
CARHR000050.1	CARHR048260.1	NA
CARHR000060.1	CARHR210890.1	0.2522
CARHR000060.1	CARHR210880.1	0.8069
CARHR000060.1	CARHR083850.1	1.8742
CARHR000060.1	CARHR087080.1	NA
CARHR000060.1	CARHR016540.1	4.5433
CARHR000060.1	CARHR046400.1	5.9312
CARHR000060.1	CARHR008970.1	8.249
CARHR000060.1	CARHR212540.1	9.9103
CARHR000060.1	CARHR083820.1	1.5486
CARHR000060.1	CARHR083810.1	1.8033
CARHR000060.1	CARHR083800.1	1.7177
CARHR000060.1	CARHR203790.1	NA
CARHR000060.1	CARHR216290.1	6.8634
CARHR000060.1	CARHR246320.1	NA
CARHR000060.1	CARHR258810.1	9.2833
CARHR000070.1	CARHR257500.1	2.8216
CARHR000080.1	CARHR100230.1	0.2014
CARHR000080.1	CARHR260580.1	0.8392
CARHR000080.1	CARHR102630.1	0.4793
CARHR000080.1	CARHR097940.1	0.8701
CARHR000080.1	CARHR026050.1	3.9956
CARHR000080.1	CARHR096040.1	3.0536
CARHR000080.1	CARHR096080.1	2.4582
CARHR000080.1	CARHR292700.1	2.8732
CARHR000080.1	CARHR062600.1	0.3668
CARHR000080.1	CARHR096060.1	4.1876
CARHR000080.1	CARHR096070.1	6.1829
CARHR000080.1	CARHR056910.1	1.8719
CARHR000080.1	CARHR215470.1	3.0842
CARHR000080.1	CARHR262730.1	2.3152
CARHR000080.1	CARHR062620.1	0.946
CARHR000080.1	CARHR154580.1	2.9111
CARHR000080.1	CARHR092700.1	NA
CARHR000080.1	CARHR187110.1	5.4182
CARHR000080.1	CARHR187100.1	5.4563
CARHR000080.1	CARHR178000.1	7.1668
CARHR000080.1	CARHR187090.1	8.4067
CARHR000080.1	CARHR066650.1	NA
CARHR000080.1	CARHR147410.1	NA
CARHR000080.1	CARHR147670.1	0.7964
CARHR000090.1	CARHR139620.1	1.4059
CARHR000090.1	CARHR150030.1	1.1441
CARHR000090.1	CARHR139630.1	1.0145
CARHR000090.1	CARHR139640.1	2.2962
CARHR000090.1	CARHR170430.1	6.4368
CARHR000090.1	CARHR139650.1	9.319
CARHR000090.1	CARHR139670.1	NA
CARHR000090.1	CARHR139660.1	6.2976
CARHR000090.1	CARHR195440.1	3.9853
CARHR000090.1	CARHR077690.1	NA
CARHR000090.1	CARHR083620.1	2.5422
CARHR000090.1	CARHR083610.1	2.877
CARHR000090.1	CARHR097320.1	7.2436
CARHR000090.1	CARHR042540.1	4.2273
CARHR000090.1	CARHR202860.1	3.7997
CARHR000090.1	CARHR069490.1	4.2422
CARHR000090.1	CARHR025410.1	NA
CARHR000090.1	CARHR259760.1	9.1682
CARHR000090.1	CARHR139610.1	NA
CARHR000090.1	CARHR178250.1	NA
CARHR000090.1	CARHR170440.1	NA
CARHR000090.1	CARHR267850.1	NA
CARHR000090.1	CARHR187250.1	NA
CARHR000090.1	CARHR041650.1	NA
CARHR000090.1	CARHR187260.1	NA
CARHR000090.1	CARHR093390.1	NA
CARHR000090.1	CARHR184910.1	6.6561
CARHR000090.1	CARHR216220.1	NA
CARHR000090.1	CARHR093400.1	NA
CARHR000090.1	CARHR050510.1	NA
CARHR000090.1	CARHR002190.1	NA
CARHR000090.1	CARHR173010.1	NA
CARHR000090.1	CARHR228900.1	NA
CARHR000090.1	CARHR052700.1	NA
CARHR000090.1	CARHR101350.1	NA
CARHR000090.1	CARHR050500.1	5.6723
CARHR000090.1	CARHR228500.1	NA
CARHR000090.1	CARHR050520.1	NA
CARHR000090.1	CARHR222620.1	NA
CARHR000090.1	CARHR173030.1	NA
CARHR000090.1	CARHR173020.1	NA
CARHR000090.1	CARHR041640.1	NA
CARHR000090.1	CARHR184960.1	NA
CARHR000090.1	CARHR052460.1	NA
CARHR000090.1	CARHR185620.1	2.4935
CARHR000090.1	CARHR184950.1	7.4732
CARHR000090.1	CARHR292100.1	9.4222
CARHR000090.1	CARHR184940.1	NA
CARHR000090.1	CARHR185630.1	NA
CARHR000090.1	CARHR101380.1	NA
CARHR000090.1	CARHR289920.1	NA
CARHR000100.1	CARHR157960.1	0.2013
CARHR000100.1	CARHR254590.1	0.2933
CARHR000100.1	CARHR246990.1	1.4869
CARHR000100.1	CARHR113320.1	0.6817
CARHR000120.1	CARHR000130.1	3.1944
CARHR000120.1	CARHR131830.1	3.4319
CARHR000120.1	CARHR271540.1	NA
CARHR000120.1	CARHR131820.1	8.4779
CARHR000130.1	CARHR000120.1	NA
CARHR000130.1	CARHR131830.1	1.5358
CARHR000130.1	CARHR271540.1	NA
CARHR000130.1	CARHR131820.1	NA
CARHR000150.1	CARHR232500.1	NA
CARHR000150.1	CARHR258190.1	6.0837
CARHR000150.1	CARHR072990.1	NA
CARHR000150.1	CARHR016890.1	NA
CARHR000150.1	CARHR209060.1	4.6606
CARHR000170.1	CARHR251190.1	7.1864
CARHR000170.1	CARHR051740.1	NA
CARHR000170.1	CARHR249690.1	7.9318
CARHR000170.1	CARHR228420.1	9.1207
CARHR000170.1	CARHR111350.1	NA
CARHR000170.1	CARHR001690.1	NA
CARHR000170.1	CARHR186070.1	8.6815
CARHR000170.1	CARHR027480.1	NA
CARHR000170.1	CARHR203930.1	NA
CARHR000170.1	CARHR100860.1	NA
CARHR000170.1	CARHR027470.1	NA
CARHR000170.1	CARHR027450.1	NA
CARHR000200.1	CARHR224230.1	4.0002
CARHR000200.1	CARHR174160.1	2.4489
CARHR000200.1	CARHR086280.1	NA
CARHR000200.1	CARHR273420.1	4.6442
CARHR000200.1	CARHR154420.1	6.5182
CARHR000200.1	CARHR163540.1	2.8796
CARHR000200.1	CARHR209830.1	NA
CARHR000200.1	CARHR084410.1	NA
CARHR000200.1	CARHR007150.1	NA
CARHR000200.1	CARHR244230.1	NA
CARHR000200.1	CARHR225260.1	NA
CARHR000200.1	CARHR223740.1	NA
CARHR000200.1	CARHR176230.1	5.2195
CARHR000200.1	CARHR082050.1	NA
CARHR000200.1	CARHR009600.1	4.1406
CARHR000200.1	CARHR017430.1	NA
CARHR000200.1	CARHR090020.1	NA
CARHR000200.1	CARHR006010.1	NA
CARHR000200.1	CARHR155410.1	NA
CARHR000200.1	CARHR274540.1	NA
CARHR000200.1	CARHR028030.1	NA
CARHR000200.1	CARHR242680.1	NA
CARHR000200.1	CARHR225650.1	7.1531
CARHR000200.1	CARHR128030.1	NA
CARHR000200.1	CARHR285390.1	NA
CARHR000200.1	CARHR173830.1	7.4576
CARHR000200.1	CARHR184300.1	NA
CARHR000200.1	CARHR279220.1	4.7283
CARHR000200.1	CARHR246690.1	NA
CARHR000200.1	CARHR086740.1	9.0969
CARHR000200.1	CARHR223730.1	5.7977
CARHR000200.1	CARHR018780.1	7.27
CARHR000200.1	CARHR138200.1	4.782
CARHR000200.1	CARHR125310.1	NA
CARHR000200.1	CARHR209820.1	5.0753
CARHR000200.1	CARHR035660.1	7.4431
CARHR000200.1	CARHR066700.1	NA
CARHR000200.1	CARHR005340.1	NA
CARHR000200.1	CARHR001270.1	NA
CARHR000200.1	CARHR084420.1	NA
CARHR000200.1	CARHR226440.1	NA
CARHR000200.1	CARHR177440.1	NA
CARHR000200.1	CARHR164820.1	NA
CARHR000200.1	CARHR139830.1	NA
CARHR000200.1	CARHR113510.1	NA
CARHR000200.1	CARHR246810.1	NA
CARHR000200.1	CARHR203040.1	NA
CARHR000200.1	CARHR042390.1	NA
CARHR000200.1	CARHR094230.1	NA
CARHR000200.1	CARHR091260.1	NA
CARHR000200.1	CARHR039290.1	NA
CARHR000200.1	CARHR293780.1	NA
CARHR000200.1	CARHR023100.1	NA
CARHR000200.1	CARHR112920.1	NA
CARHR000200.1	CARHR260650.1	NA
CARHR000200.1	CARHR262670.1	NA
CARHR000200.1	CARHR139900.1	8.4879
CARHR000200.1	CARHR243300.1	NA
CARHR000200.1	CARHR108220.1	NA
CARHR000200.1	CARHR244350.1	NA
CARHR000200.1	CARHR160880.1	NA
CARHR000200.1	CARHR069390.1	NA
CARHR000200.1	CARHR268550.1	NA
CARHR000200.1	CARHR020570.1	2.8608
CARHR000200.1	CARHR236700.1	9.968
CARHR000200.1	CARHR175960.1	NA
CARHR000200.1	CARHR192830.1	NA
CARHR000200.1	CARHR192820.1	NA
CARHR000200.1	CARHR276670.1	NA
CARHR000220.1	CARHR170640.1	3.6679
CARHR000220.1	CARHR140060.1	5.4512
CARHR000220.1	CARHR160870.1	NA
CARHR000220.1	CARHR140080.1	1.959
CARHR000220.1	CARHR128790.1	NA
CARHR000220.1	CARHR187780.1	NA
CARHR000220.1	CARHR119420.1	NA
CARHR000220.1	CARHR246920.1	NA
CARHR000240.1	CARHR248010.1	0.6435
CARHR000250.1	CARHR248060.1	0.6771
CARHR000250.1	CARHR248060.1	0.6771
CARHR000270.1	CARHR026940.1	NA
CARHR000280.1	CARHR132360.1	NA
CARHR000280.1	CARHR262550.1	NA
CARHR000280.1	CARHR163610.1	NA
CARHR000280.1	CARHR047970.1	9.0129
CARHR000280.1	CARHR049170.1	NA
CARHR000280.1	CARHR049170.1	NA
CARHR000280.1	CARHR278250.1	7.8821
CARHR000280.1	CARHR273510.1	NA
CARHR000280.1	CARHR048810.1	NA
CARHR000280.1	CARHR023340.1	NA
CARHR000280.1	CARHR023340.1	NA
CARHR000280.1	CARHR048080.1	6.0518
CARHR000280.1	CARHR079010.1	NA
CARHR000280.1	CARHR009830.1	NA
CARHR000280.1	CARHR051050.1	NA
CARHR000280.1	CARHR051150.1	NA
CARHR000280.1	CARHR275160.1	NA
CARHR000280.1	CARHR048100.1	NA
CARHR000280.1	CARHR048780.1	7.2049
CARHR000280.1	CARHR048780.1	7.2049
CARHR000280.1	CARHR004520.1	6.0671
CARHR000280.1	CARHR126490.1	NA
CARHR000280.1	CARHR048440.1	NA
CARHR000280.1	CARHR198540.1	NA
CARHR000280.1	CARHR234420.1	8.997
CARHR000280.1	CARHR042130.1	NA
CARHR000280.1	CARHR047950.1	NA
CARHR000280.1	CARHR012890.1	NA
CARHR000280.1	CARHR048500.1	NA
CARHR000280.1	CARHR283670.1	NA
CARHR000280.1	CARHR283670.1	NA
CARHR000280.1	CARHR048490.1	NA
CARHR000280.1	CARHR048490.1	NA
CARHR000280.1	CARHR048840.1	NA
CARHR000290.1	CARHR248080.1	0.8537
CARHR000290.1	CARHR243140.1	NA
CARHR000290.1	CARHR199500.1	3.8217
CARHR000300.1	CARHR243600.1	NA
CARHR000300.1	CARHR208950.1	NA
CARHR000300.1	CARHR170970.1	NA
CARHR000300.1	CARHR027240.1	NA
CARHR000300.1	CARHR140350.1	6.2739
CARHR000300.1	CARHR159010.1	9.6487
CARHR000300.1	CARHR208920.1	8.3163
CARHR000300.1	CARHR209840.1	7.6169
CARHR000340.1	CARHR140350.1	1.9437
CARHR000340.1	CARHR170970.1	2.2294
CARHR000340.1	CARHR223110.1	4.3462
CARHR000350.1	CARHR012650.1	2.496
CARHR000350.1	CARHR254060.1	3.0971
CARHR000360.1	CARHR248150.1	0.8215
CARHR000360.1	CARHR140510.1	2.3573
CARHR000360.1	CARHR254010.1	7.4569
CARHR000360.1	CARHR099820.1	8.308
CARHR000360.1	CARHR238340.1	4.775
CARHR000370.1	CARHR012110.1	0.9101
CARHR000370.1	CARHR227380.1	3.2667
CARHR000370.1	CARHR030210.1	2.161
CARHR000370.1	CARHR227370.1	3.3006
CARHR000370.1	CARHR030170.1	NA
CARHR000370.1	CARHR025530.1	NA
CARHR000370.1	CARHR128950.1	NA
CARHR000370.1	CARHR030180.1	8.8224
CARHR000370.1	CARHR178740.1	NA
CARHR000370.1	CARHR128960.1	NA
CARHR000370.1	CARHR178710.1	3.6635
CARHR000370.1	CARHR178670.1	NA
CARHR000370.1	CARHR030190.1	NA
CARHR000370.1	CARHR178720.1	NA
CARHR000370.1	CARHR227340.1	NA
CARHR000370.1	CARHR025540.1	NA
CARHR000370.1	CARHR025550.1	NA
CARHR000370.1	CARHR227360.1	NA
CARHR000370.1	CARHR227410.1	NA
